Gene1	Gene2
AARS	AARS2
AADAT	AASDH
AADAT	AASDHPPT
AASDH	AASDHPPT
AASDH	AASS
AASDHPPT	AASS
ABCD1	ABCD2
ABCD1	ABCD3
ABI3	ABI3BP
ABI1	ABL1
ABI2	ABL1
ABL1	ABL2
ACAA1	ACAA2
ACAA1	ACACA
ACAA2	ACACA
ACAA1	ACACB
ACAA2	ACACB
ACACA	ACACB
ACAA1	ACADM
ACAA2	ACADM
ACAA2	ACADS
AACS	ACAT1
ACAA1	ACAT1
ACAA2	ACAT1
ACACA	ACAT1
ACACB	ACAT1
AACS	ACAT2
ACAA1	ACAT2
ACAA2	ACAT2
ACACA	ACAT2
ACACB	ACAT2
ACAT1	ACAT2
ACCN1	ACCN3
ABCF3	ACIN1
ACAA1	ACLY
ACAA2	ACLY
ACACA	ACLY
ACACB	ACLY
ACAT1	ACLY
ACAT2	ACLY
ACLY	ACO1
ACLY	ACO2
ACO1	ACO2
ACAA1	ACOT12
ACAA2	ACOT12
ACACA	ACOT12
ACACB	ACOT12
ACAT1	ACOT12
ACAT2	ACOT12
ACLY	ACOT12
ACAA1	ACOX1
ACAA2	ACOX1
ACADS	ACOX1
ACAA1	ACOX3
ACAA2	ACOX3
ACADS	ACOX3
ACOX1	ACSL1
ACOX3	ACSL1
ACOX1	ACSL3
ACOX3	ACSL3
ACSL1	ACSL3
ACOX1	ACSL5
ACOX3	ACSL5
ACSL1	ACSL5
ACSL3	ACSL5
ACOX1	ACSL6
ACOX3	ACSL6
ACSL1	ACSL6
ACSL3	ACSL6
ACSL5	ACSL6
ACAA2	ACSM1
ACADS	ACSM1
ACOX1	ACSM1
ACOX3	ACSM1
ACAA1	ACSS1
ACAA2	ACSS1
ACACA	ACSS1
ACACB	ACSS1
ACADM	ACSS1
ACAT1	ACSS1
ACAT2	ACSS1
ACLY	ACSS1
ACOT12	ACSS1
ACAA1	ACSS2
ACAA2	ACSS2
ACACA	ACSS2
ACACB	ACSS2
ACADM	ACSS2
ACAT1	ACSS2
ACAT2	ACSS2
ACLY	ACSS2
ACOT12	ACSS2
ACSS1	ACSS2
ABLIM3	ACTC1
ACTB	ACTG1
ACTN2	ACTN3
ACTB	ACTR2
ACTB	ACTR3
ACTR2	ACTR3
ACTR2	ACTR3B
ACTL6A	ACTR5
ACTL6A	ACTR8
ACTR5	ACTR8
ABI2	ACVR1
ABI2	ACVR1B
ACTR2	ACVR1B
ACVR1	ACVR1B
ACVR1B	ACVR2A
ACVR1	ACVR2B
ACVR1B	ACVR2B
ACVR1C	ACVR2B
ACVR2B	ACVRL1
ABI2	ACY1
ACSS1	ACYP1
ACSS2	ACYP1
ACSS1	ACYP2
ACSS2	ACYP2
ACTN2	ADAM12
ABI2	ADAM19
A2M	ADAMTS1
ABAT	ADC
ABI2	ADCK2
ADCY2	ADCY5
ADH1A	ADH1B
ADH1A	ADH4
ADH1B	ADH4
ADH1A	ADH5
ADH1B	ADH5
ADH4	ADH5
ADH1A	ADH6
ADH1B	ADH6
ADH4	ADH6
ADH5	ADH6
ADH1A	ADH7
ADH1B	ADH7
ADH4	ADH7
ADH5	ADH7
ADH6	ADH7
ADH1A	ADHFE1
ADH1B	ADHFE1
ADH4	ADHFE1
ADH5	ADHFE1
ADH6	ADHFE1
ADH7	ADHFE1
ADA	ADORA1
ADA	ADORA2A
ADRB2	ADRBK1
ACY3	ADSS
ADSL	ADSS
ACY3	ADSSL1
ADSL	ADSSL1
ADSS	ADSSL1
ACTC1	AFAP1
ACVR2A	AFF4
AFF1	AFF4
AADAT	AFMID
ABP1	AGMAT
ADC	AGMAT
AGK	AGPAT1
AGK	AGPAT2
AGK	AGPAT3
AGK	AGPAT4
AGK	AGPAT6
ADRBK1	AGTR1
AGTR1	AGTRAP
AGTR2	AGTRAP
AARS	AGXT
AARS2	AGXT
AARS	AGXT2
AARS2	AGXT2
AGXT	AGXT2
AHR	AIP
ADSL	AK1
ADSL	AK2
AK1	AK2
ADSL	AK4
AK1	AK4
AK2	AK4
ADSL	AK5
AK1	AK5
AK2	AK5
AK4	AK5
ADSL	AK7
AK1	AK7
AK2	AK7
AK4	AK7
AK5	AK7
ADRB2	AKAP12
ABI2	AKAP13
AKAP3	AKAP4
ABP1	AKR1B1
AGL	AKR1B1
ABP1	AKR1B10
ACAA1	AKR1B10
ACAA2	AKR1B10
ACACA	AKR1B10
ACACB	AKR1B10
ACAT1	AKR1B10
ACAT2	AKR1B10
ACLY	AKR1B10
ACOT12	AKR1B10
ACSS1	AKR1B10
ACSS2	AKR1B10
AKR1C4	AKR1D1
AKR7A2	AKR7A3
ACTA1	AKT1
ACTL6B	AKT1
ABI2	AKT3
AHNAK	AKT3
AKT1	AKTIP
AGXT	ALAS1
AGXT2	ALAS1
ALAD	ALAS1
ABAT	ALDH1A3
ABP1	ALDH1A3
ACOT12	ALDH1A3
ACSS1	ALDH1A3
ACSS2	ALDH1A3
ACYP1	ALDH1A3
ACYP2	ALDH1A3
ADH1A	ALDH1A3
ADH1B	ALDH1A3
ADH4	ALDH1A3
ADH5	ALDH1A3
ADH6	ALDH1A3
ADH7	ALDH1A3
ADHFE1	ALDH1A3
ABAT	ALDH1B1
ABP1	ALDH1B1
ACOT12	ALDH1B1
ACSS1	ALDH1B1
ACSS2	ALDH1B1
ACYP1	ALDH1B1
ACYP2	ALDH1B1
ADH1A	ALDH1B1
ADH1B	ALDH1B1
ADH4	ALDH1B1
ADH5	ALDH1B1
ADH6	ALDH1B1
ADH7	ALDH1B1
ADHFE1	ALDH1B1
ALDH1A3	ALDH1B1
ABAT	ALDH2
ABP1	ALDH2
ACOT12	ALDH2
ACSS1	ALDH2
ACSS2	ALDH2
ACYP1	ALDH2
ACYP2	ALDH2
ADH1A	ALDH2
ADH1B	ALDH2
ADH4	ALDH2
ADH5	ALDH2
ADH6	ALDH2
ADH7	ALDH2
ADHFE1	ALDH2
ALDH1A3	ALDH2
ALDH1B1	ALDH2
ABAT	ALDH3A1
ABP1	ALDH3A1
ACOT12	ALDH3A1
ACSS1	ALDH3A1
ACSS2	ALDH3A1
ACYP1	ALDH3A1
ACYP2	ALDH3A1
ADH1A	ALDH3A1
ADH1B	ALDH3A1
ADH4	ALDH3A1
ADH5	ALDH3A1
ADH6	ALDH3A1
ADH7	ALDH3A1
ADHFE1	ALDH3A1
ALDH1A3	ALDH3A1
ALDH1B1	ALDH3A1
ALDH2	ALDH3A1
ADC	ALDH4A1
ALDH18A1	ALDH4A1
ABAT	ALDH5A1
ABAT	ALDH6A1
ACAA1	ALDH6A1
ACAA2	ALDH6A1
ACACA	ALDH6A1
ACACB	ALDH6A1
ACADM	ALDH6A1
ACAT1	ALDH6A1
ACAT2	ALDH6A1
ACLY	ALDH6A1
ACOT12	ALDH6A1
ACSS1	ALDH6A1
ACSS2	ALDH6A1
ABAT	ALDH7A1
ABP1	ALDH7A1
ACOT12	ALDH7A1
ACSS1	ALDH7A1
ACSS2	ALDH7A1
ACYP1	ALDH7A1
ACYP2	ALDH7A1
ADH1A	ALDH7A1
ADH1B	ALDH7A1
ADH4	ALDH7A1
ADH5	ALDH7A1
ADH6	ALDH7A1
ADH7	ALDH7A1
ADHFE1	ALDH7A1
ALDH1A3	ALDH7A1
ALDH1B1	ALDH7A1
ALDH2	ALDH7A1
ALDH3A1	ALDH7A1
ABAT	ALDH9A1
ABP1	ALDH9A1
ACOT12	ALDH9A1
ACSS1	ALDH9A1
ACSS2	ALDH9A1
ACYP1	ALDH9A1
ACYP2	ALDH9A1
ADH1A	ALDH9A1
ADH1B	ALDH9A1
ADH4	ALDH9A1
ADH5	ALDH9A1
ADH6	ALDH9A1
ADH7	ALDH9A1
ADHFE1	ALDH9A1
ALDH1A3	ALDH9A1
ALDH1B1	ALDH9A1
ALDH2	ALDH9A1
ALDH3A1	ALDH9A1
ALDH7A1	ALDH9A1
ALDH1A3	ALDOA
ALDH1B1	ALDOA
ALDH2	ALDOA
ALDH3A1	ALDOA
ALDH7A1	ALDOA
ALDH9A1	ALDOA
ALDH1A3	ALDOB
ALDH1B1	ALDOB
ALDH2	ALDOB
ALDH3A1	ALDOB
ALDH7A1	ALDOB
ALDH9A1	ALDOB
ALDOA	ALDOB
ALDH1A3	ALDOC
ALDH1B1	ALDOC
ALDH2	ALDOC
ALDH3A1	ALDOC
ALDH7A1	ALDOC
ALDH9A1	ALDOC
ALDOA	ALDOC
ALDOB	ALDOC
ABI2	ALPK1
AGGF1	ALPK1
AK1	ALPK1
AK2	ALPK1
A2M	AMBP
ALB	AMBP
ACVR1	AMHR2
AMH	AMHR2
AMIGO1	AMIGO2
AMIGO1	AMIGO3
AMIGO2	AMIGO3
AMOT	AMOTL1
ADSL	AMPD1
ADSS	AMPD1
ADSSL1	AMPD1
AK1	AMPD1
AK2	AMPD1
AK4	AMPD1
AK5	AMPD1
AK7	AMPD1
ADSL	AMPD2
ADSS	AMPD2
ADSSL1	AMPD2
AK1	AMPD2
AK2	AMPD2
AK4	AMPD2
AK5	AMPD2
AK7	AMPD2
AGXT	AMT
AGXT2	AMT
ALAS1	AMT
ALDH1L1	AMT
AMPD1	AMT
AMPD2	AMT
AKAP1	AMY1A
AKAP8	AMY1A
AGL	AMY1C
AGL	AMY2A
ANAPC1	ANAPC11
ANAPC10	ANAPC11
ANAPC1	ANAPC2
ANAPC11	ANAPC2
ANAPC1	ANAPC4
ANAPC10	ANAPC4
ANAPC2	ANAPC4
ANAPC1	ANAPC5
ANAPC2	ANAPC5
ANAPC4	ANAPC5
ANAPC1	ANAPC7
ANAPC4	ANAPC7
ANAPC5	ANAPC7
AHRR	ANKRA2
ACVR1B	ANKRD1
ADRBK1	ANKRD1
AKAP13	ANKRD1
ACVR1B	ANKS1A
ACVR2B	ANKS1A
ALPK1	ANKS1A
ADAP1	ANP32A
AGXT	ANPEP
AGXT2	ANPEP
ALAS1	ANPEP
ALG2	ANXA11
ALG2	ANXA7
ABP1	AOC2
AGMAT	AOC2
AKR1B1	AOC2
AKR1B10	AOC2
ALDH1A3	AOC2
ALDH1B1	AOC2
ALDH2	AOC2
ALDH3A1	AOC2
ALDH7A1	AOC2
ALDH9A1	AOC2
ABP1	AOC3
AGMAT	AOC3
AKR1B1	AOC3
AKR1B10	AOC3
ALDH1A3	AOC3
ALDH1B1	AOC3
ALDH2	AOC3
ALDH3A1	AOC3
ALDH7A1	AOC3
ALDH9A1	AOC3
AOC2	AOC3
ABAT	AOX1
ABCA1	AOX1
AMPH	AP1B1
AP1B1	AP1G1
AP1B1	AP1M1
AP1G1	AP1M1
AP1G1	AP1M2
AP1G1	AP1S1
AP1G2	AP1S1
AP1G1	AP1S2
AP1G2	AP1S2
AMPH	AP2A2
AP1M1	AP2B1
AP1M2	AP2B1
ADRA1B	AP2M1
AP1B1	AP2M1
AP1G1	AP2M1
AP2B1	AP2M1
AP1G1	AP2S1
AP3B1	AP3S2
AP3D1	AP3S2
AP3M1	AP3S2
AP4B1	AP4E1
AP4B1	AP4M1
AP4E1	AP4M1
AP4E1	AP4S1
ABI1	APBB1
ACTN1	APC
AGFG1	APC
ANKRD17	APC
ANXA7	APC
AP2B1	APC
ACTA1	APC2
ANAPC1	APC2
ANAPC10	APC2
ANAPC11	APC2
ANAPC4	APC2
ANAPC5	APC2
ANAPC7	APC2
ANP32A	APEX1
APAF1	APIP
ACVR2B	APITD1
APBB1	APLP1
APBB3	APLP1
APBB1	APLP2
APBB3	APLP2
ABCA1	APOA1
APOA1	APOA1BP
A1CF	APOBEC1
APOBEC1	APOBEC2
APOBEC1	APOBEC3A
APOBEC2	APOBEC3A
APOBEC1	APOBEC3B
APOBEC2	APOBEC3B
APOBEC3A	APOBEC3B
APOBEC1	APOBEC3C
APOBEC2	APOBEC3C
APOBEC3A	APOBEC3C
APOBEC3B	APOBEC3C
APOBEC1	APOBEC3F
APOBEC2	APOBEC3F
APOBEC3A	APOBEC3F
APOBEC3B	APOBEC3F
