Gene1	Gene2
ACTR10	ARF5
ARF3	ARF5
ARCN1	ARF5
ANK1	ARF5
ANK3	ARF5
ARF4	ARF5
ANK2	ARF5
ACTR1A	ARF5
ARF1	ARF5
ARF5	SPTBN2
KIF22	SPTBN2
DCTN6	SPTBN2
BET1	SPTBN2
GOSR2	SPTBN2
GOSR1	SPTBN2
HLA-DOA	SPTBN2
COPB1	SPTBN2
ACTR10	SPTBN2
KRAS	SPTBN2
ARF3	SPTBN2
DYNC1LI2	SPTBN2
COG3	SPTBN2
KDELR2	SPTBN2
DCTN3	SPTBN2
KLC4	SPTBN2
KIF23	SPTBN2
KIF11	SPTBN2
COPE	SPTBN2
CAPZA1	SPTBN2
KIF18A	SPTBN2
ARFGAP3	SPTBN2
NAPA	SPTBN2
ARCN1	SPTBN2
KIF3C	SPTBN2
RAB7A	SPTBN2
CENPE	SPTBN2
ANK1	SPTBN2
KIF2B	SPTBN2
DYNC1LI1	SPTBN2
SCN2B	SPTBN2
ANK3	SPTBN2
SCN3A	SPTBN2
ACTR1B	SPTBN2
COG5	SPTBN2
COG1	SPTBN2
DCTN5	SPTBN2
RILP	SPTBN2
SCN1A	SPTBN2
COG7	SPTBN2
COG8	SPTBN2
ARF4	SPTBN2
KIF5B	SPTBN2
SCN11A	SPTBN2
RAB1B	SPTBN2
GORASP1	SPTBN2
ARFGAP1	SPTBN2
COG4	SPTBN2
DYNC1I1	SPTBN2
OSBPL1A	SPTBN2
SCN4B	SPTBN2
KIF15	SPTBN2
NAPG	SPTBN2
COPG1	SPTBN2
CAPZA3	SPTBN2
COPB2	SPTBN2
KDELR1	SPTBN2
HLA-DQA1	SPTBN2
PTK2	SPTBN2
NFASC	SPTBN2
SCN8A	SPTBN2
FYN	SPTBN2
DYNC1H1	SPTBN2
SPTBN1	SPTBN2
ANK2	SPTBN2
ACTB	SPTBN2
KCNQ2	SPTBN2
HLA-DRB1	SPTBN2
PLEKHG4	SPTBN2
KIFAP3	SPTBN2
DCTN1	SPTBN2
CAPZA2	SPTBN2
COG2	SPTBN2
CD55	SPTBN2
COPA	SPTBN2
SPTA1	SPTBN2
NRAS	SPTBN2
ACTR1A	SPTBN2
GBF1	SPTBN2
